code insee,Commune,surf_ha,Poles_Territoriaux,Poles1,Poles2,Population_2021,Logements_2020,Res_principales_2020
64008,Ahaxe-Alciette-Bascassan,1463,Garazi Baigorri,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,263,157,116
64009,Ahetze,1057,Sud Pays Basque,Sud Pays Basque - int,Sud Pays Basque - int,2049,1063,858
64010,Aïcirits-Camou-Suhast,946,Amikuze,Amikuze - Bidache - Hasparren - Nive Adour,Amikuze - Bidache - Hasparren - Nive Adour,687,368,316
64011,Aincille,625,Garazi Baigorri,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,114,54,41
64012,Ainharp,1440,Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,131,70,58
64013,Ainhice-Mongelos,1025,Garazi Baigorri,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,169,101,79
64014,Ainhoa,1625,Sud Pays Basque,Sud Pays Basque - int,Sud Pays Basque - int,667,432,294
64015,Alçay-Alçabéhéty-Sunharette,3457,Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,208,145,90
64016,Aldudes,2323,Garazi Baigorri,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,321,253,142
64017,Alos-Sibas-Abense,585,Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,320,216,139
64018,Amendeuix-Oneix,767,Amikuze,Amikuze - Bidache - Hasparren - Nive Adour,Amikuze - Bidache - Hasparren - Nive Adour,459,232,198
64019,Amorots-Succos,1513,Amikuze,Amikuze - Bidache - Hasparren - Nive Adour,Amikuze - Bidache - Hasparren - Nive Adour,230,108,91
64024,Anglet,2722,Cote Basque Adour,Cote Basque Adour,Anglet,41153,27459,21437
64026,Anhaux,1235,Garazi Baigorri,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,377,190,156
64031,Arancou,524,Pays de Bidache,Amikuze - Bidache - Hasparren - Nive Adour,Amikuze - Bidache - Hasparren - Nive Adour,178,92,70
64034,Arbérats-Sillègue,532,Amikuze,Amikuze - Bidache - Hasparren - Nive Adour,Amikuze - Bidache - Hasparren - Nive Adour,322,150,136
64035,Arbonne,1071,Sud Pays Basque,Sud Pays Basque - int,Sud Pays Basque - int,2344,1094,929
64036,Arbouet-Sussaute,1456,Amikuze,Amikuze - Bidache - Hasparren - Nive Adour,Amikuze - Bidache - Hasparren - Nive Adour,312,141,122
64038,Arcangues,1766,Errobi,Errobi,Errobi,3457,1850,1427
64045,Arhansus,533,Iholdi Oztibarre,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,70,38,31
64046,Armendarits,1751,Iholdi Oztibarre,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,Garazi Baigorri - Iholdi Oztibarre - Soule Xiberoa,386,185,153
