logt_id;logt_name;logt_url;host_id;logt_codeINSEE;logt_latitude;logt_longitude;logt_room_type;logt_accommodates;logt_bathrooms_text;logt_nb_bath;logt_toil;logt_shared_bath;logt_beds;logt_prix;logt_review_scores_rating;logt_review_scores_accuracy;logt_review_scores_cleanliness;logt_review_scores_checkin;logt_review_scores_communication;logt_review_scores_location;logt_review_scores_value;logt_instant_bookable;logt_enregistrement
100953;Bed and breakfast in Biarritz · ★4.91 · 1 bedroom · 1 bed · 1 private bath;https://www.airbnb.com/rooms/100953;529684;64122;43,47871;-1,55767;Private room;2;1 private bath;1;0;0;1;105;4,91;4,91;4,94;4,82;4,88;4,94;4,79;0;
111027;Bed and breakfast in Biarritz · ★4.85 · 1 bedroom · 1 bed · 1 private bath;https://www.airbnb.com/rooms/111027;529684;64122;43,47943;-1,55916;Private room;2;1 private bath;1;0;0;1;85;4,85;4,89;4,86;4,82;4,76;4,93;4,8;0;
209295;Rental unit in Biarritz · ★4.56 · 2 bedrooms · 2 beds · 1 bath;https://www.airbnb.com/rooms/209295;1031250;64122;43,47887;-1,54527;Entire home/apt;4;1 bath;1;0;0;2;;4,56;4,78;4,67;5;4,94;4,44;4,72;0;64122002929DA
327264;Home in Urrugne · ★4.87 · 6 bedrooms · 8 beds · 3.5 baths;https://www.airbnb.com/rooms/327264;1673093;64545;43,37056;-1,72667;Entire home/apt;10;3.5 baths;3;1;0;8;450;4,87;4,83;4,74;4,88;4,89;4,92;4,52;0;6,4545E+12
352381;Rental unit in Anglet · ★4.88 · 2 bedrooms · 3 beds · 1 bath;https://www.airbnb.com/rooms/352381;1784503;64024;43,501858;-1,512803;Entire home/apt;5;1 bath;1;0;0;3;68;4,88;4,92;4,83;4,88;4,96;4,73;4,58;0;640240001849D
356862;Rental unit in Guéthary · ★4.62 · 2 bedrooms · 3 beds · 2 baths;https://www.airbnb.com/rooms/356862;1806320;64249;43,42512;-1,60948;Entire home/apt;4;2 baths;2;0;0;3;190;4,62;4,62;4,57;4,86;5;5;4,33;0;64249000100F2
368497;Townhouse in Biarritz · ★4.45 · 5 bedrooms · 7 beds · 3 baths;https://www.airbnb.com/rooms/368497;1860152;64122;43,47581;-1,56473;Entire home/apt;11;3 baths;3;0;0;7;426;4,45;4,54;4,43;4,84;4,7;4,84;4,34;0;64122172724RS
404942;Villa in Bidart · 2 bedrooms · 3 beds · 1 bath;https://www.airbnb.com/rooms/404942;1765616;64125;43,44018;-1,57464;Entire home/apt;6;1 bath;1;0;0;3;138;;;;;;;;0;6,4125E+12
467058;Rental unit in Saint-Jean-de-Luz · ★4.70 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/467058;2319191;64483;43,38847;-1,66194;Entire home/apt;4;1 bath;1;0;0;1;84;4,7;4,82;4,78;4,92;4,9;4,95;4,59;0;64483001359FC
488614;Rental unit in Hendaye · ★4.84 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/488614;2417648;64260;43,36049;-1,7728;Entire home/apt;4;1 bath;1;0;0;1;73;4,84;4,88;4,73;4,98;4,98;4,76;4,78;0;6,426E+12
514093;Rental unit in Bidart · ★4.78 · 2 bedrooms · 2 beds · 1 bath;https://www.airbnb.com/rooms/514093;2532320;64125;43,43488;-1,59683;Entire home/apt;4;1 bath;1;0;0;2;130;4,78;4,83;4,74;4,94;4,94;4,81;4,58;0;6,4125E+12
514652;Rental unit in Biarritz · ★4.89 · 2 bedrooms · 3 beds · 1 bath;https://www.airbnb.com/rooms/514652;1547905;64122;43,48067;-1,55336;Entire home/apt;4;1 bath;1;0;0;3;85;4,89;4,95;4,95;5;4,99;4,88;4,8;0;64122002367A1
531719;Rental unit in Biarritz · ★4.63 · 2 bedrooms · 4 beds · 2 baths;https://www.airbnb.com/rooms/531719;2613471;64122;43,49069;-1,55242;Entire home/apt;6;2 baths;2;0;0;4;;4,63;4,69;4,31;4,65;4,64;4,88;4,52;0;6,4122E+12
587663;Bed and breakfast in Biarritz · ★4.85 · 1 bedroom · 1 bed · 1 private bath;https://www.airbnb.com/rooms/587663;529684;64122;43,47922;-1,55907;Private room;2;1 private bath;1;0;0;1;105;4,85;4,9;4,9;4,63;4,71;4,9;4,6;0;
587736;Bed and breakfast in Biarritz · ★4.75 · 1 bedroom · 1 bed · 1 private bath;https://www.airbnb.com/rooms/587736;529684;64122;43,48016;-1,55796;Private room;2;1 private bath;1;0;0;1;75;4,75;4,86;4,84;4,75;4,66;4,93;4,64;0;
587756;Bed and breakfast in Biarritz · ★4.81 · 1 bedroom · 2 beds · 1 private bath;https://www.airbnb.com/rooms/587756;529684;64122;43,4792;-1,55941;Private room;2;1 private bath;1;0;0;2;85;4,81;4,88;4,88;4,78;4,88;4,89;4,66;0;
619573;Home in Biarritz · ★4.0 · 4 bedrooms · 5 beds · 2 baths;https://www.airbnb.com/rooms/619573;3070456;64122;43,47045;-1,55628;Entire home/apt;10;2 baths;2;0;0;5;430;4;4;3,5;4,4;4,7;4,2;3,7;0;64122002232C9
626489;Villa in Lahonce · ★4.0 · 6 bedrooms · 11 beds · 3 baths;https://www.airbnb.com/rooms/626489;3109965;64304;43,48573;-1,40149;Entire home/apt;10;3 baths;3;0;0;11;250;4;4,44;4;4,78;4,56;4,44;4,33;0;64304000016C8
661562;Rental unit in Bayonne · ★4.81 · 3 bedrooms · 3 beds · 1 bath;https://www.airbnb.com/rooms/661562;2361360;64102;43,49033;-1,47896;Entire home/apt;5;1 bath;1;0;0;3;153;4,81;4,84;4,82;4,95;4,92;4,95;4,73;0;641020009723D
663153;Loft in Biarritz · ★4.46 · 2 bedrooms · 2 beds · 1 bath;https://www.airbnb.com/rooms/663153;3348817;64122;43,48409;-1,55627;Entire home/apt;4;1 bath;1;0;0;2;107;4,46;4,66;4,34;4,74;4,83;4,97;4,53;1;641220026649E
1298264;Home in Bidart · ★4.57 · 4 bedrooms · 6 beds · 2 baths;https://www.airbnb.com/rooms/1298264;7059514;64125;43,4443;-1,58391;Entire home/apt;6;2 baths;2;0;0;6;270;4,57;4,67;3,83;4,86;4,71;4,86;4,14;0;6,4125E+12
664467;Rental unit in Saint-Jean-de-Luz · ★4.48 · 2 bedrooms · 3 beds · 1 bath;https://www.airbnb.com/rooms/664467;3357149;64483;43,38738;-1,66062;Entire home/apt;4;1 bath;1;0;0;3;199;4,48;4,68;4,35;4,67;4,58;4,9;4,32;0;64483220077MT
665643;Rental unit in Saint-Jean-de-Luz · ★4.82 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/665643;3364315;64483;43,39193;-1,66041;Entire home/apt;2;1 bath;1;0;0;1;103;4,82;4,76;4,95;4,9;4,9;4,9;4,71;0;6,4483E+12
1300038;Rental unit in Biarritz · ★4.73 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/1300038;7067391;64122;43,47609;-1,56303;Entire home/apt;3;1 bath;1;0;0;1;74;4,73;4,75;4,67;5;4,92;4,75;4,5;0;
665895;Home in Arcangues · ★4.86 · 2 bedrooms · 2 beds · 1 private bath;https://www.airbnb.com/rooms/665895;3366179;64038;43,42789;-1,52364;Private room;3;1 private bath;1;0;0;2;150;4,86;5;4,86;5;5;4,57;4,71;0;
1303977;Rental unit in Biarritz · ★4.53 · 2 bedrooms · 4 beds · 1 bath;https://www.airbnb.com/rooms/1303977;5809243;64122;43,48182;-1,56744;Entire home/apt;5;1 bath;1;0;0;4;120;4,53;4,72;4,41;4,78;4,74;4,87;4,56;0;64122171172QS
672796;Bed and breakfast in Biarritz · ★4.90 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/672796;3412493;64122;43,47835;-1,562;Private room;2;1 bath;1;0;0;1;55;4,9;4,96;4,9;4,97;4,96;4,96;4,94;0;
680185;Rental unit in Biarritz · ★4.55 · Studio · 1 bed · 1 bath;https://www.airbnb.com/rooms/680185;3462574;64122;43,48486;-1,55405;Entire home/apt;2;1 bath;1;0;0;1;50;4,55;4,75;4,17;4,88;4,88;4,82;4,57;0;6,4122E+12
731936;Rental unit in Biarritz · ★4.77 · Studio · 1 bath;https://www.airbnb.com/rooms/731936;3809993;64122;43,48227;-1,56554;Entire home/apt;2;1 bath;1;0;0;;59;4,77;4,83;4,73;4,78;4,9;4,96;4,78;0;64122170509ZS
1307340;Rental unit in Biarritz · ★4.67 · 2 bedrooms · 4 beds · 1 bath;https://www.airbnb.com/rooms/1307340;7107205;64122;43,47303;-1,55403;Entire home/apt;5;1 bath;1;0;0;4;85;4,67;4,75;4,87;4,95;4,93;4,54;4,68;0;6,4122E+12
1330922;Chalet in Biarritz · ★4.77 · 6 bedrooms · 12 beds · 5 baths;https://www.airbnb.com/rooms/1330922;1443597;64122;43,45685;-1,55059;Entire home/apt;13;5 baths;5;0;0;12;600;4,77;4,69;4,46;4,94;4,96;4,25;4,58;0;6,4122E+12
732199;Rental unit in Biarritz · ★5.0 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/732199;3811485;64122;43,4896;-1,55032;Entire home/apt;2;1 bath;1;0;0;1;100;5;5;4,9;5;5;5;4,9;0;64122172449RS
738388;Condo in Biarritz · ★4.60 · Studio · 1 bed · 1 bath;https://www.airbnb.com/rooms/738388;3809993;64122;43,48517;-1,54812;Entire home/apt;2;1 bath;1;0;0;1;38;4,6;4,78;4,61;4,77;4,81;4,79;4,63;0;64122172629WS
1334522;Bed and breakfast in Anglet · ★4.91 · 1 bedroom · 2 beds · 1 shared bath;https://www.airbnb.com/rooms/1334522;6598885;64038;43,45949;-1,53524;Private room;3;1 shared bath;1;0;1;2;;4,91;4,88;5;4,93;4,98;4,37;4,83;1;
739301;Home in Biarritz · ★4.83 · 3 bedrooms · 3 beds · 2 baths;https://www.airbnb.com/rooms/739301;3866257;64122;43,48876;-1,54601;Entire home/apt;6;2 baths;2;0;0;3;247;4,83;4,67;4,33;5;5;5;4,5;0;6,4122E+12
1342493;Loft in Biarritz · ★4.87 · 3 bedrooms · 6 beds · 2 baths;https://www.airbnb.com/rooms/1342493;7281385;64122;43,48021;-1,56225;Entire home/apt;8;2 baths;2;0;0;6;255;4,87;4,86;4,9;4,95;4,95;4,97;4,68;0;Exempt - hotel-type listing
1343603;Condo in Urrugne · ★4.30 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/1343603;7287684;64545;43,36534;-1,69377;Entire home/apt;4;1 bath;1;0;0;1;50;4,3;4,53;4,3;4,71;4,68;4,3;4,3;0;
1348931;Villa in Bidart · ★4.95 · 2 bedrooms · 2 beds · 1 private bath;https://www.airbnb.com/rooms/1348931;6862888;64125;43,45049;-1,57382;Private room;4;1 private bath;1;0;0;2;75;4,95;4,94;4,94;4,97;4,99;4,74;4,85;0;64125000737A5
744138;Rental unit in Biarritz · ★4.65 · 1 bedroom · 2 beds · 1 bath;https://www.airbnb.com/rooms/744138;3899844;64122;43,48264;-1,55814;Entire home/apt;2;1 bath;1;0;0;2;59;4,65;4,72;4,61;4,79;4,82;4,89;4,62;1;64122182647RM
1391335;Rental unit in Biarritz · ★4.52 · 1 bedroom · 1 bed · 1 bath;https://www.airbnb.com/rooms/1391335;7522405;64122;43,48269;-1,5663;Entire home/apt;3;1 bath;1;0;0;1;50;4,52;4,65;4,4;4,85;4,92;4,95;4,66;0;641220026115F
1410422;Rental unit in Biarritz · ★4.90 · 2 bedrooms · 2 beds · 2 baths;https://www.airbnb.com/rooms/1410422;7281385;64122;43,480232;-1,562731;Entire home/apt;4;2 baths;2;0;0;2;204;4,9;4,92;4,94;4,94;4,94;4,98;4,56;0;Exempt - hotel-type listing
